fid_1,id,Tree_name,DBH,Height,X,Y,Species,Comments,Stress_Ind,Dendromete,Leaf_sampl,SPAD,WP1,WP2,Name,descriptio,Spectro,Dend_code,layer,F_Weight,D_Weight,F_Weight_2,D_Weight_2,Dry_Weight,path
5,1.000000000000000,BR1-2,32.719999999999999,7.200000000000000,415235.173360460496042,3863563.704504579771310,Juniper Monosperm,PhenoCam FOV,10.000000000000000,92240313,2,0,2.126000000000000,2.223000000000000, , ,1,92240313.000000000000000,Bradshaw_Ranch,6.190000000000000,3.398100000000000,2.370000000000000,1.346400000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
2,1.000000000000000,FR-P1-T1,55.590000000000003,19.329400000000000,431821.254904733330477,3911343.843390475958586,Pinus Ponderosa,Severely affected by bark beetle,4.000000000000000,92240329,0, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_FireRoute_Hart-Prairie1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
5,1.000000000000000,FR-P1-T2,57.170000000000002,23.037800000000001,431845.606918469071388,3911319.443153520114720,Pinus Ponderosa,Healthy tree. New growths,10.000000000000000,92240330,0, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_FireRoute_Hart-Prairie1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
9,1.000000000000000,FR-P2-T1,86.010000000000005,24.866599999999998,431208.314501102257054,3913011.083585793618113,Pinus Ponderosa,Healthy and tallest tree,10.000000000000000,92240322,0,0,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_FireRoute_Hart-Prairie1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
10,1.000000000000000,FR-P2-T2,76.430000000000007,23.596599999999999,431223.864644309389405,3913004.864487877115607,Pinus Ponderosa,Taller and with bark beetle evidences,7.000000000000000,92240323,0,0,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_FireRoute_Hart-Prairie1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
12,1.000000000000000,FR-P2-T3,98.680000000000007,26.365200000000002,431238.213067669305019,3913019.727973428089172,Pinus Ponderosa,Stressed tree. Yellow leaves on the top,4.000000000000000,92240314,0,0,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_FireRoute_Hart-Prairie1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
13,1.000000000000000,FR-P3-T2,56.369999999999997,11.887200000000000,431382.811024098889902,3913608.048086496535689,Douglas fir,Looks healty. Around several dead trees,10.000000000000000,92240324,0, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_FireRoute_Hart-Prairie1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
14,1.000000000000000,FR-P3-T1,48.609999999999999,14.376400000000000,431343.011344210710377,3913620.086243405938148,Douglas fir,Stressed. Several dead branches,7.000000000000000,92240315,0, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_FireRoute_Hart-Prairie1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
15,1.000000000000000,FR-P3-T3,0.000000000000000,0.000000000000000,431366.871191369602457,3913601.391384087968618,Southwest White pine,Looks healthy but some dead branches low,9.000000000000000,92240331,0, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_FireRoute_Hart-Prairie1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
17,1.000000000000000,FR-P4-T1,63.729999999999997,19.812000000000001,431973.419625987880863,3913183.377779091242701,Pinus Ponderosa,"Stress symptoms,dead lowers branches,roa",4.000000000000000,92240325,0, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_FireRoute_Hart-Prairie1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
18,1.000000000000000,FR-P4-T2,63.729999999999997,20.904199999999999,431926.758244911208749,3913200.255617836490273,Pinus Ponderosa,Highly stressed 3. Lower branches dead,3.000000000000000,92246690,0, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_FireRoute_Hart-Prairie1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
19,1.000000000000000,FR-P5-T1,48.799999999999997,25.146000000000001,432522.576938027865253,3913854.782434131484479,Aspen,"Stressed,very tall. Just one branch aliv",3.000000000000000,92246688,0, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_FireRoute_Hart-Prairie1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
20,1.000000000000000,FR-P5-T2,44.340000000000003,29.565600000000000,432510.261354411079083,3913848.035267693921924,Aspen,Healthy and tallest. Surrender by dead t,9.000000000000000,92246689,0, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_FireRoute_Hart-Prairie1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
1,1.000000000000000,ML-P1-T2,43.450000000000003,12.979400000000000,455017.293142820475623,3868709.187165529467165,White fir,"Lower branches alive, higher branch dead",3.000000000000000,99246685,2,0,1.895000000000000,1.818000000000000, , , ,0.000000000000000,Fieldpoins_Mormon-Lake,3.050000000000000,0.000000000000000,6.080000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
3,1.000000000000000,ML-P1-T1,64.680000000000007,19.303999999999998,455027.101634653052315,3868723.370950746349990,White fir,Trunk severy damage by beetles,6.000000000000000,92246683,2,0,1.660000000000000,1.894000000000000, ,Looks healty. In the top only one branch is dead,1,0.000000000000000,Fieldpoins_Mormon-Lake,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
4,1.000000000000000,ML-P1-T4,28.300000000000001,10.160000000000000,454994.625549633754417,3868741.090105064678937,Gambel oak,Looks healthy tree. Index 9,9.000000000000000,92246664,2,1,2.670000000000000,2.840000000000000, , , ,0.000000000000000,Fieldpoins_Mormon-Lake,1.240000000000000,0.000000000000000,2.370000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
5,1.000000000000000,ML-P1-T3,45.799999999999997,9.448800000000000,455001.952085064258426,3868745.674803182482719,Gambel oak,Secondary trunk dead. Dead small branche,8.000000000000000,92246684,2,1,2.752000000000000,2.573000000000000, , , ,0.000000000000000,Fieldpoins_Mormon-Lake,4.950000000000000,0.000000000000000,2.950000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
6,1.000000000000000,ML-P1-T5,45.549999999999997,20.650200000000002,455083.192712014657445,3868742.502211574930698,Pinus Ponderosa,Full infestation of beetles,2.000000000000000,92246661,0,0,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Fieldpoins_Mormon-Lake,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
4,1.000000000000000,JD-P7-T1,23.873000000000001,3.400000000000000,450036.340378545573913,3924654.597484754864126,Pinyon Pine,Looks healthy,10.000000000000000,92240360,2,0,0.000000000000000,0.000000000000000, ,DH=76.8 taken on 28-May-2024,1,0.000000000000000,Juniper_die-offs_30May2024,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
7,1.000000000000000,JD_P25_T1,29.189000000000000,2.400000000000000,451617.208812338532880,3932077.086898894049227,Juniper Monosperm,Fieldwork 15-Dec-24 and 28-May-24,5.000000000000000,92240333,2,0,0.000000000000000,0.000000000000000, ,DBH taken on 28-May-2024 2nd dendrometer= 53.5,1,92240359.000000000000000,Juniper_die-offs_30May2024,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
